species,locus,accession,seq_len,sci_name,ncbi_name,ncbi_taxid,outgroup_status
Alsophila_khasyana,rbcL,KY858735,1309,Alsophila khasyana T. Moore,Alsophila khasyana T.Moore ex Kuhn,1710905,in
Alsophila_khasyana,trnL-trnF,KY858905,987,Alsophila khasyana T. Moore,Alsophila khasyana T.Moore ex Kuhn,1710905,in
Alsophila_kirkii,rbcL,AM495781,1264,Alsophila kirkii (Hook.) R. M. Tryon,Cyathea kirkii Hook.,429080,in
Alsophila_kirkii,trnL-trnF,AM689679,598,Alsophila kirkii (Hook.) R. M. Tryon,Cyathea kirkii Hook.,429080,in
Alsophila_klossii,atpB,EU352271,872,Alsophila klossii (Ridl.) R. M. Tryon,Cyathea klossii Ridl.,504001,in
Alsophila_klossii,rbcL,EU352299,1298,Alsophila klossii (Ridl.) R. M. Tryon,Cyathea klossii Ridl.,504001,in
Alsophila_lastii,rbcL,AM495782,1264,Alsophila lastii (Baker) R. M. Tryon,Cyathea lastii Baker,429081,in
Alsophila_lastii,trnL-trnF,AM689680,908,Alsophila lastii (Baker) R. M. Tryon,Cyathea lastii Baker,429081,in
Alsophila_latebrosa,plastome,MW620065,66933,Alsophila latebrosa Wall.,Alsophila latebrosa Wall. ex Hook.,1710921,in
Alsophila_ligulata,rbcL,AM495783,1223,Alsophila ligulata (Baker) R. M. Tryon,Cyathea ligulata Baker,429082,in
Alsophila_ligulata,trnL-trnF,AM689681,356,Alsophila ligulata (Baker) R. M. Tryon,Cyathea ligulata Baker,429082,in
Alsophila_loheri,rbcL,KY858719,1309,Alsophila loheri (Christ) R. M. Tryon,Alsophila loheri (Christ) R.M.Tryon,1710922,in
Alsophila_loheri,trnL-trnF,KY858888,983,Alsophila loheri (Christ) R. M. Tryon,Alsophila loheri (Christ) R.M.Tryon,1710922,in
Alsophila_longipinnata,rbcL,AM495785,1264,Alsophila longipinnata (Bonap.) R. M. Tryon,Cyathea longipinnata Bonap.,429084,in
Alsophila_longipinnata,trnL-trnF,AM689683,360,Alsophila longipinnata (Bonap.) R. M. Tryon,Cyathea longipinnata Bonap.,429084,in
Alsophila_longispina,rbcL,AM495801,572,Alsophila longispina (Janssen & Rakotondr.) Christenh.,Cyathea longispina Janssen & Rakotondr.,434264,in
Alsophila_longispina,trnL-trnF,AM689700,918,Alsophila longispina (Janssen & Rakotondr.) Christenh.,Cyathea longispina Janssen & Rakotondr.,434264,in
Alsophila_lurida,rbcL,KP337945,1295,Alsophila lurida (Blume) Hook.,Alsophila lurida (Blume) Hook.,1710923,in
Alsophila_lurida,trnL-trnF,MN155675,936,Alsophila lurida (Blume) Hook.,Gymnosphaera lurida (Blume) S.Y.Dong,2598365,in
Alsophila_macgillivrayi,trnL-trnF,MN155421,946,Alsophila macgillivrayi Baker,Alsophila macgillivrayi Baker,2598237,in
Alsophila_macgregorii,rbcL,KP337964,564,Alsophila macgregorii (F. Muell.) R. M. Tryon,Alsophila gleichenioides (C.Chr.) R.M.Tryon,1710919,in
Alsophila_manniana,rbcL,AM495787,1222,Alsophila manniana (Hook.) R. M. Tryon,Cyathea manniana Hook.,429085,in
Alsophila_manniana,trnL-trnF,MN155424,927,Alsophila manniana (Hook.) R. M. Tryon,Cyathea manniana Hook.,429085,in
Alsophila_marattioides,rbcL,AM495788,1225,Alsophila marattioides (Willd. ex Kaulf.) R. M. Tryon,Cyathea marattioides Willd. ex Kaulf.,429086,in
Alsophila_marattioides,trnL-trnF,AM689686,352,Alsophila marattioides (Willd. ex Kaulf.) R. M. Tryon,Cyathea marattioides Willd. ex Kaulf.,429086,in
Alsophila_marcescens,trnL-trnF,MN155463,929,Alsophila ×  marcescens (N. A. Wakef.) R. M. Tryon,Alsophila marcescens (N.A.Wakef.) R.M.Tryon,2598239,in
Alsophila_matitanensis,rbcL,AM495786,1264,Alsophila matitanensis R. M. Tryon,Cyathea madagascarica Bonap.,429062,in
Alsophila_matitanensis,trnL-trnF,AM689684,850,Alsophila matitanensis R. M. Tryon,Cyathea madagascarica Bonap.,429062,in
Alsophila_media,rbcL,KP337968,609,Alsophila media (W. H. Wagner & Grether) R. M. Tryon,Alsophila media (Wagn. & Greth.) R.M.Tryon,1710924,in
Alsophila_melleri,rbcL,AM495790,1264,Alsophila melleri (Baker) R. M. Tryon,Cyathea melleri (Baker) Domin,429088,in
Alsophila_melleri,trnL-trnF,AM689688,950,Alsophila melleri (Baker) R. M. Tryon,Cyathea melleri (Baker) Domin,429088,in
Alsophila_meridionalis,rbcL,AM495796,1254,Alsophila meridionalis (Janssen & Rakotondr.) Christenh.,Cyathea meridionalis Janssen & Rakotondr.,434262,in
Alsophila_meridionalis,trnL-trnF,AM689695,866,Alsophila meridionalis (Janssen & Rakotondr.) Christenh.,Cyathea meridionalis Janssen & Rakotondr.,434262,in
Alsophila_metteniana,plastome,MN795320,66752,Alsophila metteniana Hance,Alsophila metteniana Hance,872495,in
Alsophila_micra,trnL-trnF,MN155426,935,Alsophila micra R. M. Tryon,Alsophila micra R.M.Tryon,2598400,in
Alsophila_microphylloides,rbcL,KP337953,1295,Alsophila microphylloides (Rosenst.) R. M. Tryon,Alsophila microphylloides (Rosenst.) R.M.Tryon,1710925,in
Alsophila_microphylloides,trnL-trnF,MN155428,922,Alsophila microphylloides (Rosenst.) R. M. Tryon,Alsophila microphylloides (Rosenst.) R.M.Tryon,1710925,in
Alsophila_milnei,rbcL,KR153992,1282,Alsophila milnei (Hook. fil.) R. M. Tryon,Cyathea milnei Hook. ex Hook.f.,1686252,in
Alsophila_milnei,trnL-trnF,KR153994,986,Alsophila milnei (Hook. fil.) R. M. Tryon,Cyathea milnei Hook. ex Hook.f.,1686252,in
Alsophila_minor,trnL-trnF,MN155429,964,Alsophila minor (D. C. Eaton) R. M. Tryon,Alsophila minor (D.C.Eaton) R.M.Tryon,2598240,in
Alsophila_mostellaria,trnL-trnF,MN155430,963,Alsophila mostellaria Lehnert,Alsophila mostellaria Lehnert,2598242,in
Alsophila_muelleri,trnL-trnF,MN155431,926,Alsophila muelleri (Baker) R. M. Tryon,Alsophila muelleri (Baker) R.M.Tryon,2598401,in
Alsophila_nigrolineata,rbcL,AM410206,1309,Alsophila nigrolineata (Holttum) R. M. Tryon,Alsophila nigrolineata (Holtt.) R.M.Tryon,411268,in
Alsophila_nigrolineata,trnL-trnF,AM410337,926,Alsophila nigrolineata (Holttum) R. M. Tryon,Alsophila nigrolineata (Holtt.) R.M.Tryon,411268,in
Alsophila_nilgirensis,rbcL,MK573827,1132,Alsophila nilgirensis (Holttum) R. M. Tryon,Cyathea nilgirensis Holttum,1450750,in
Alsophila_odonelliana,trnL-trnF,MN155433,712,Alsophila odonelliana (Alston) Lehnert,Alsophila odonelliana (Alston) Lehnert,2598243,in
Alsophila_ogurae,rbcL,AB574754,1205,Alsophila ogurae Hayata,Cyathea ogurae Domin,872496,in
Alsophila_olivacea,trnL-trnF,MN155677,934,Alsophila olivacea Brause,Gymnosphaera olivacea (Brause) S.Y.Dong,2598366,in
Alsophila_oosora,rbcL,AM410209,1309,Alsophila oosora (Holttum) R. M. Tryon,Alsophila oosora (Holtt.) R.M.Tryon,411269,in
Alsophila_orientalis,trnL-trnF,MN155435,562,Alsophila orientalis (Kunze) R. M. Tryon,"Alsophila orientalis (Kunze) R.M.Tryon, q1970",2598402,in
Alsophila_pachyrrhachis,rbcL,AM410186,1309,Alsophila pachyrrhachis (Copel.) R. M. Tryon,Alsophila pachyrrhachis (Copel.) R.M.Tryon,411270,in
Alsophila_pachyrrhachis,trnL-trnF,AM410305,967,Alsophila pachyrrhachis (Copel.) R. M. Tryon,Alsophila pachyrrhachis (Copel.) R.M.Tryon,411270,in
Alsophila_paucifolia,trnL-trnF,MN155436,549,Alsophila paucifolia Baker,Alsophila paucifolia Baker,2598244,in
Alsophila_percrassa,rbcL,KP337969,588,Alsophila percrassa (C. Chr.) R. M. Tryon,Alsophila percrassa (C.Chr.) R.M.Tryon,1710926,in
Alsophila_perpelvigera,trnL-trnF,MN155439,928,Alsophila perpelvigera (Alderw.) R. M. Tryon,Alsophila perpelvigera (Alderw.) R.M.Tryon,2598403,in
Alsophila_perrieriana,rbcL,AM495791,1264,Alsophila perrieriana (C. Chr.) R. M. Tryon,Cyathea perrieriana C.Chr.,429089,in
Alsophila_perrieriana,trnL-trnF,AM689689,853,Alsophila perrieriana (C. Chr.) R. M. Tryon,Cyathea perrieriana C.Chr.,429089,in
Alsophila_phlebodes,trnL-trnF,MN155678,936,Alsophila phlebodes Lehnert & Coritico,Gymnosphaera phlebodes (Lehnert & Coritico) S.Y.Ng,2598367,in
Alsophila_physolepidota,trnL-trnF,MN155440,930,Alsophila physolepidota (Alston) R. M. Tryon,Alsophila physolepidota (Alston) R.M.Tryon,2598404,in
Alsophila_podophylla,plastome,MG262389,66715,Alsophila podophylla Hook.,"Alsophila podophylla Hook., 1857, non Baker",204585,in
Alsophila_polystichoides,rbcL,MW138172,1309,Alsophila polystichoides Christ,Alsophila polystichoides Christ,1710927,in
Alsophila_poolii,rbcL,AM495754,1235,Alsophila poolii C. Chr.,Cyathea poolii (C.Chr.) Domin,429065,in
Alsophila_poolii,trnL-trnF,AM689650,966,Alsophila poolii C. Chr.,Cyathea poolii (C.Chr.) Domin,429065,in
Alsophila_portoricensis,rbcL,KJ082116,529,Alsophila portoricensis (Kuhn) D. S. Conant,Alsophila portoricensis (Spreng. ex Kuhn) D.S.Conant,1471836,in
Alsophila_pruinosa,rbcL,KP337952,1295,Alsophila pruinosa (Rosenst.) R. M. Tryon,Alsophila pruinosa (Rosenst.) R.M.Tryon,1710928,in
Alsophila_pycnoneura,trnL-trnF,MN155443,928,Alsophila pycnoneura (Holttum) R. M. Tryon,Alsophila pycnoneura (Holttum) R.M.Tryon,2598405,in
Alsophila_quadrata,rbcL,AM495780,1264,Alsophila quadrata var. ivohibensis (C. Chr.) J. P. Roux,Cyathea ivohibensis (C.Chr.) Janssen & Rakotondr.,429079,in
Alsophila_quadrata,trnL-trnF,AM689678,821,Alsophila quadrata var. ivohibensis (C. Chr.) J. P. Roux,Cyathea ivohibensis (C.Chr.) Janssen & Rakotondr.,429079,in
Alsophila_ramispina,atpA,AM176426,1514,Alsophila ramispina Hook.,Gymnosphaera ramispina (Hook.) Copel.,2598368,in
Alsophila_ramispina,atpB,AM176587,1482,Alsophila ramispina Hook.,Gymnosphaera ramispina (Hook.) Copel.,2598368,in
Alsophila_ramispina,rbcL,AM177326,1309,Alsophila ramispina Hook.,Gymnosphaera ramispina (Hook.) Copel.,2598368,in
Alsophila_ramispina,rps4,AM176482,603,Alsophila ramispina Hook.,Gymnosphaera ramispina (Hook.) Copel.,2598368,in
Alsophila_ramispina,rps4-trnS,AM176482,225,Alsophila ramispina Hook.,Gymnosphaera ramispina (Hook.) Copel.,2598368,in
Alsophila_ramispina,trnL-trnF,AM410323,990,Alsophila ramispina Hook.,Gymnosphaera ramispina (Hook.) Copel.,2598368,in
Alsophila_rebeccae,matK,MF178050,1504,Alsophila rebeccae F. Muell.,Gymnosphaera rebeccae (F.Muell.) S.Y.Dong,2598369,in
Alsophila_rebeccae,rbcL,KP338013,1295,Alsophila rebeccae F. Muell.,Gymnosphaera rebeccae (F.Muell.) S.Y.Dong,2598369,in
Alsophila_rebeccae,trnL-trnF,MF066474,971,Alsophila rebeccae F. Muell.,Gymnosphaera rebeccae (F.Muell.) S.Y.Dong,2598369,in
Alsophila_rigens,rbcL,KP337954,1295,Alsophila rigens (Rosenst.) R. M. Tryon,Alsophila rigens (Rosenst.) R.M.Tryon,1710930,in
Alsophila_rolandii,rbcL,AM495752,1264,Alsophila rolandii R. M. Tryon,Cyathea costularis Bonap.,429064,in
Alsophila_rolandii,trnL-trnF,AM689648,360,Alsophila rolandii R. M. Tryon,Cyathea costularis Bonap.,429064,in
Alsophila_roroka,trnL-trnF,MN155444,929,Alsophila roroka (Hovenkamp) Lehnert & Coritico,Alsophila roroka (Hovenkamp) Lehnert & Coritico,2598245,in
Alsophila_rouhaniana,rbcL,AM495799,1151,Alsophila rouhaniana (Rakotondr. & Janssen) Christenh.,Cyathea rouhaniana Rakotondr. & Janssen,429095,in
Alsophila_rouhaniana,trnL-trnF,AM689698,931,Alsophila rouhaniana (Rakotondr. & Janssen) Christenh.,Cyathea rouhaniana Rakotondr. & Janssen,429095,in
Alsophila_rubiginosa,trnL-trnF,MN155445,939,Alsophila rubiginosa Brause,Alsophila rubiginosa Brause,2598246,in
Alsophila_saccata,trnL-trnF,MN155446,929,Alsophila saccata (Christ) R. M. Tryon,Alsophila saccata (Christ) R.M.Tryon,2598406,in
Alsophila_salletii,rbcL,MT295641,1299,Alsophila salletii (Tardieu & C. Chr.) R. M. Tryon,Gymnosphaera salletii (Tardieu & C.Chr.) S.Y.Dong,2598370,in
Alsophila_salletii,trnL-trnF,MT295726,892,Alsophila salletii (Tardieu & C. Chr.) R. M. Tryon,Gymnosphaera salletii (Tardieu & C.Chr.) S.Y.Dong,2598370,in
Alsophila_salvinii,atpA,EF463634,1506,Alsophila salvinii Hook.,Gymnosphaera salvinii (Hook.) S.Y.Dong,2598381,in
Alsophila_salvinii,atpB,EF463361,1278,Alsophila salvinii Hook.,Gymnosphaera salvinii (Hook.) S.Y.Dong,2598381,in
Alsophila_salvinii,rbcL,AM410184,1309,Alsophila salvinii Hook.,Gymnosphaera salvinii (Hook.) S.Y.Dong,2598381,in
Alsophila_salvinii,trnL-trnF,AM410300,1000,Alsophila salvinii Hook.,Gymnosphaera salvinii (Hook.) S.Y.Dong,2598381,in
Alsophila_scandens,trnL-trnF,MN155685,910,Alsophila scandens Brause,Gymnosphaera scandens (Brause) S.Y.Dong,2598371,in
Alsophila_schlechteri,trnL-trnF,MN155686,938,Alsophila schlechteri Brause,Gymnosphaera schlechteri (Brause) Copel.,2598372,in
Alsophila_schliebenii,rbcL,AM495768,1264,Alsophila schliebenii Reimers,Cyathea fadenii Holttum,429073,in
Alsophila_schliebenii,trnL-trnF,AM689666,968,Alsophila schliebenii Reimers,Cyathea fadenii Holttum,429073,in
Alsophila_semiamplectens,trnL-trnF,MN155447,919,Alsophila semiamplectens (Holttum) R. M. Tryon,Alsophila semiamplectens (Holttum) R.M.Tryon,2598884,in
Alsophila_serratifolia,rbcL,AM495793,1264,Alsophila serratifolia (Baker) R. M. Tryon,Cyathea serratifolia Baker,429091,in
Alsophila_serratifolia,trnL-trnF,AM689692,660,Alsophila serratifolia (Baker) R. M. Tryon,Cyathea serratifolia Baker,429091,in
Alsophila_setosa,trnL-trnF,MN155449,958,Alsophila setosa Kaulf.,Alsophila setosa Kaulf.,2598247,in
Alsophila_similis,rbcL,AM495794,1264,Alsophila similis (C. Chr.) R. M. Tryon,Cyathea similis C.Chr.,429092,in
Alsophila_similis,trnL-trnF,AM689693,843,Alsophila similis (C. Chr.) R. M. Tryon,Cyathea similis C.Chr.,429092,in
Alsophila_simulans,rbcL,AM495784,1227,Alsophila simulans Baker,Cyathea remotifolia Bonap.,429083,in
Alsophila_simulans,trnL-trnF,AM689682,868,Alsophila simulans Baker,Cyathea remotifolia Bonap.,429083,in
Alsophila_sinuata,rbcL,AM495795,1264,Alsophila sinuata (Hook. & Grev.) R. M. Tryon,Cyathea sinuata Hook. & Grev.,429093,in
Alsophila_sinuata,trnL-trnF,AM689694,853,Alsophila sinuata (Hook. & Grev.) R. M. Tryon,Cyathea sinuata Hook. & Grev.,429093,in
Alsophila_smithii,rbcL,AM410210,1309,Alsophila smithii (Hook. fil.) R. M. Tryon,Alsophila smithii (Hook.f.) R.M.Tryon,411273,in
Alsophila_smithii,trnL-trnF,AM410338,940,Alsophila smithii (Hook. fil.) R. M. Tryon,Alsophila smithii (Hook.f.) R.M.Tryon,411273,in
Alsophila_solomonensis,rbcL,KP338002,1295,Alsophila solomonensis (Holttum) R. M. Tryon,Alsophila solomonensis (Holttum) R.M.Tryon,1710933,in
Alsophila_spinulosa,plastome,FJ556581,66955,Alsophila spinulosa (Wall. ex Hook.) R. M. Tryon,Alsophila spinulosa (Wall. ex Hook.) R.M.Tryon,204586,in
Alsophila_stelligera,atpA,EF463635,1506,Alsophila stelligera (Holttum) R. M. Tryon,Alsophila stelligera (Holtt.) R.M.Tryon,411274,in
Alsophila_stelligera,atpB,EF463362,1183,Alsophila stelligera (Holttum) R. M. Tryon,Alsophila stelligera (Holtt.) R.M.Tryon,411274,in
Alsophila_stelligera,rbcL,AM410198,1309,Alsophila stelligera (Holttum) R. M. Tryon,Alsophila stelligera (Holtt.) R.M.Tryon,411274,in
Alsophila_stelligera,trnL-trnF,AM410325,996,Alsophila stelligera (Holttum) R. M. Tryon,Alsophila stelligera (Holtt.) R.M.Tryon,411274,in
Alsophila_sternbergii,rbcL,MG718038,694,Alsophila sternbergii (Sternb.) D. S. Conant,Alsophila sternbergii (Sternb.) D.S.Conant,2072217,in
Alsophila_subdubia,rbcL,KP337998,1295,Alsophila subdubia Alderw.,Alsophila subdubia Alderw.,1710934,in
Alsophila_sumatrana,trnL-trnF,MN155454,936,Alsophila sumatrana (Baker) R. M. Tryon,Alsophila sumatrana (Baker) R.M.Tryon,2598248,in
Alsophila_sundueana,trnL-trnF,MN155455,938,Alsophila sundueana Lehnert,Alsophila sundueana Lehnert,2600189,in
Alsophila_tahitensis,rbcL,KY099749,1309,Alsophila tahitensis Brack.,Alsophila tahitensis Brack.,2053837,in
Alsophila_tanzaniana,rbcL,AM495792,1217,Alsophila tanzaniana R. M. Tryon,Cyathea schliebenii Reimers,429090,in
Alsophila_tanzaniana,trnL-trnF,AM689690,421,Alsophila tanzaniana R. M. Tryon,Cyathea schliebenii Reimers,429090,in
Alsophila_tryoniana,atpB,KX395702,1107,Alsophila tryoniana (Gastony) D. S. Conant,Alsophila tryoniana (Gastony) D.S.Conant,411276,in
Alsophila_tryoniana,rbcL,KY684770,1321,Alsophila tryoniana (Gastony) D. S. Conant,Alsophila tryoniana (Gastony) D.S.Conant,411276,in
Alsophila_tryoniana,trnL-trnF,MN155456,953,Alsophila tryoniana (Gastony) D. S. Conant,Alsophila tryoniana (Gastony) D.S.Conant,411276,in
Alsophila_tsaratananensis,rbcL,AM495802,583,Alsophila tsaratananensis (C. Chr.) R. M. Tryon,Cyathea tsaratananensis C.Chr.,429098,in
Alsophila_tsaratananensis,trnL-trnF,AM689701,347,Alsophila tsaratananensis (C. Chr.) R. M. Tryon,Cyathea tsaratananensis C.Chr.,429098,in
Alsophila_tuyamae,rbcL,AB574757,1205,Alsophila tuyamae (H. Ohba) Nakaike,Cyathea tuyamae H.Ohba,872497,in
Alsophila_urbanii,trnL-trnF,MN155457,799,Alsophila urbanii (Brause) R. M. Tryon,Alsophila urbanii (Brause) R.M.Tryon,2598249,in
Alsophila_valdesquamata,rbcL,AM495800,1211,Alsophila valdesquamata (Janssen & Rakotondr.) Christenh.,Cyathea valdesquamata Janssen & Rakotondr.,429096,in
Alsophila_vieillardii,rbcL,KP337961,1295,Alsophila vieillardii (Mett.) R. M. Tryon,Alsophila vieillardii (Mett.) R.M.Tryon,1710935,in
Alsophila_vieillardii,trnL-trnF,MN155458,929,Alsophila vieillardii (Mett.) R. M. Tryon,Alsophila vieillardii (Mett.) R.M.Tryon,1710935,in
Alsophila_viguieri,rbcL,AM495803,1258,Alsophila viguieri (Tardieu) R. M. Tryon,Cyathea viguieri Tardieu,429099,in
Alsophila_viguieri,trnL-trnF,AM689702,892,Alsophila viguieri (Tardieu) R. M. Tryon,Cyathea viguieri Tardieu,429099,in
Alsophila_walkerae,rbcL,AM495805,1233,Alsophila walkerae (Hook.) J. Sm.,Cyathea walkerae Hook.,429101,in
Alsophila_walkerae,trnL-trnF,AM689704,893,Alsophila walkerae (Hook.) J. Sm.,Cyathea walkerae Hook.,429101,in
Alsophila_weidenbrueckii,trnL-trnF,MN155460,919,Alsophila weidenbrueckii Lehnert,Alsophila weidenbrueckiae Lehnert,2598250,in
Alsophila_wengiensis,rbcL,KP337956,1295,Alsophila wengiensis Brause,Alsophila wengiensis Brause,1710936,in
Alsophila_woodwardioides,rbcL,KY684771,1380,Alsophila woodwardioides (Kaulf.) D. S. Conant,Alsophila woodwardioides (Kaulf.) D.S.Conant,2072148,in
Alsophila_woollsiana,rbcL,KP337979,1178,Alsophila woollsiana F. Muell.,Alsophila woollsiana F.Muell.,1710937,in
Amauropelta_amambayensis,rps4,KT805073,556,Amauropelta amambayensis (Ponce) Salino & T. E. Almeida,Amauropelta amambayensis (Ponce) Salino & T.E.Almeida,1729482,in
Amauropelta_amambayensis,rps4-trnS,KT805073,567,Amauropelta amambayensis (Ponce) Salino & T. E. Almeida,Amauropelta amambayensis (Ponce) Salino & T.E.Almeida,1729482,in
Amauropelta_amambayensis,trnL-trnF,KT804997,832,Amauropelta amambayensis (Ponce) Salino & T. E. Almeida,Amauropelta amambayensis (Ponce) Salino & T.E.Almeida,1729482,in
Amauropelta_amphioxypteris,rps4,MG818257,550,Amauropelta amphioxypteris (Sodiro) Salino & T. E. Almeida,Amauropelta amphioxypteris (Sodiro) Salino & T.E.Almeida,2516303,in
Amauropelta_amphioxypteris,rps4-trnS,MG818257,532,Amauropelta amphioxypteris (Sodiro) Salino & T. E. Almeida,Amauropelta amphioxypteris (Sodiro) Salino & T.E.Almeida,2516303,in
Amauropelta_amphioxypteris,trnL-trnF,MG818278,318,Amauropelta amphioxypteris (Sodiro) Salino & T. E. Almeida,Amauropelta amphioxypteris (Sodiro) Salino & T.E.Almeida,2516303,in
Amauropelta_angustifrons,rbcL,LC484385,1205,Amauropelta angustifrons (Miq.) Y. H. Chang,Amauropelta angustifrons (Miq.) Y.H.Chang,872870,in
Amauropelta_atrovirens,rbcL,MT657442,482,Amauropelta atrovirens (C. Chr.) Salino & T. E. Almeida,Amauropelta atrovirens (C.Chr.) Salino & T.E.Almeida,2757718,in
Amauropelta_balbisii,rps4,MG818259,550,Amauropelta balbisii (Spreng.) A. R. Sm.,Amauropelta balbisii var. balbisii,2516321,in
Amauropelta_balbisii,rps4-trnS,MG818259,525,Amauropelta balbisii (Spreng.) A. R. Sm.,Amauropelta balbisii var. balbisii,2516321,in
Amauropelta_balbisii,trnL-trnF,MG818280,328,Amauropelta balbisii (Spreng.) A. R. Sm.,Amauropelta balbisii var. balbisii,2516321,in
Amauropelta_basisceletica,rps4,MG818249,560,"Amauropelta basisceletica (C. Sánchez, Caluff & O. Alvarez) Salino & T. E. Almeida","Amauropelta basisceletica (C.Sanchez, Caluff & Alvarez, O.) Salino & T.E.Almeida",2516306,in
Amauropelta_basisceletica,rps4-trnS,MG818249,471,"Amauropelta basisceletica (C. Sánchez, Caluff & O. Alvarez) Salino & T. E. Almeida","Amauropelta basisceletica (C.Sanchez, Caluff & Alvarez, O.) Salino & T.E.Almeida",2516306,in
Amauropelta_basisceletica,trnL-trnF,MG818272,338,"Amauropelta basisceletica (C. Sánchez, Caluff & O. Alvarez) Salino & T. E. Almeida","Amauropelta basisceletica (C.Sanchez, Caluff & Alvarez, O.) Salino & T.E.Almeida",2516306,in
Amauropelta_beddomei,plastome,MT130660,67136,Amauropelta beddomei (Baker) Y. H. Chang,Amauropelta beddomei (Baker) Y.H.Chang,32182,in
Amauropelta_bergiana,rbcL,KF992414,1246,Amauropelta bergiana (Schltdl.) Holttum,Amauropelta bergiana (Schltdl.) Holttum,1521195,in
Amauropelta_bergiana,rps4,KT805074,556,Amauropelta bergiana (Schltdl.) Holttum,Amauropelta bergiana (Schltdl.) Holttum,1521195,in
Amauropelta_bergiana,rps4-trnS,KT805074,572,Amauropelta bergiana (Schltdl.) Holttum,Amauropelta bergiana (Schltdl.) Holttum,1521195,in
Amauropelta_bergiana,trnL-trnF,KT804998,831,Amauropelta bergiana (Schltdl.) Holttum,Amauropelta bergiana (Schltdl.) Holttum,1521195,in
Amauropelta_burkartii,rps4,KT805075,556,Amauropelta burkartii (Abbiatti) Salino & T. E. Almeida,Amauropelta burkartii (Abbiatti) Salino & T.E.Almeida,1729483,in
Amauropelta_burkartii,rps4-trnS,KT805075,567,Amauropelta burkartii (Abbiatti) Salino & T. E. Almeida,Amauropelta burkartii (Abbiatti) Salino & T.E.Almeida,1729483,in
Amauropelta_burkartii,trnL-trnF,KT804999,832,Amauropelta burkartii (Abbiatti) Salino & T. E. Almeida,Amauropelta burkartii (Abbiatti) Salino & T.E.Almeida,1729483,in
Amauropelta_cheilanthoides,rps4,KT805076,532,Amauropelta cheilanthoides (Kunze) Á. & D. Löve,Amauropelta cheilanthoides (Kunze) A.Love & D.Love,1729484,in
Amauropelta_cheilanthoides,rps4-trnS,KT805076,515,Amauropelta cheilanthoides (Kunze) Á. & D. Löve,Amauropelta cheilanthoides (Kunze) A.Love & D.Love,1729484,in
Amauropelta_cheilanthoides,trnL-trnF,KT805000,828,Amauropelta cheilanthoides (Kunze) Á. & D. Löve,Amauropelta cheilanthoides (Kunze) A.Love & D.Love,1729484,in
Amauropelta_consanguinea,atpA,EF463879,1506,Amauropelta consanguinea (Fée) Salino & T. E. Almeida,Amauropelta consanguinea (Fee) Salino & T.E.Almeida,449892,in
Amauropelta_consanguinea,atpB,EF463539,1278,Amauropelta consanguinea (Fée) Salino & T. E. Almeida,Amauropelta consanguinea (Fee) Salino & T.E.Almeida,449892,in
Amauropelta_consanguinea,rbcL,EF463283,1308,Amauropelta consanguinea (Fée) Salino & T. E. Almeida,Amauropelta consanguinea (Fee) Salino & T.E.Almeida,449892,in
Amauropelta_corazonensis,rps4,MG818253,556,Amauropelta corazonensis (Baker) Salino & T. E. Almeida,Amauropelta corazonensis (Baker) Salino & T.E.Almeida,2516307,in
Amauropelta_corazonensis,rps4-trnS,MG818253,525,Amauropelta corazonensis (Baker) Salino & T. E. Almeida,Amauropelta corazonensis (Baker) Salino & T.E.Almeida,2516307,in
Amauropelta_cystopteroides,rbcL,AB575015,1205,Amauropelta cystopteroides (D. C. Eaton) S. E. Fawc. & A. R. Sm.,Parathelypteris cystopteroides (D.C.Eaton) Ching,873556,in
Amauropelta_decurtata,rps4,KT805077,556,Amauropelta decurtata (Link) Salino & T. E. Almeida,Amauropelta decurtata (Link) Salino & T.E.Almeida,1729485,in
Amauropelta_decurtata,rps4-trnS,KT805077,569,Amauropelta decurtata (Link) Salino & T. E. Almeida,Amauropelta decurtata (Link) Salino & T.E.Almeida,1729485,in
Amauropelta_decurtata,trnL-trnF,KT805001,815,Amauropelta decurtata (Link) Salino & T. E. Almeida,Amauropelta decurtata (Link) Salino & T.E.Almeida,1729485,in
Amauropelta_eriosorus,rps4,KT805078,551,Amauropelta eriosorus (Fée) Salino & T. E. Almeida,Amauropelta eriosorus (Fee) Salino & T.E.Almeida,1729486,in
Amauropelta_eriosorus,rps4-trnS,KT805078,514,Amauropelta eriosorus (Fée) Salino & T. E. Almeida,Amauropelta eriosorus (Fee) Salino & T.E.Almeida,1729486,in
Amauropelta_eriosorus,trnL-trnF,KT805002,831,Amauropelta eriosorus (Fée) Salino & T. E. Almeida,Amauropelta eriosorus (Fee) Salino & T.E.Almeida,1729486,in
Amauropelta_firma,rps4,MG818251,516,Amauropelta firma (Baker ex Jenman) Salino & T. E. Almeida,Amauropelta firma (Baker ex Jenman) Salino & T.E.Almeida,2516308,in
Amauropelta_firma,rps4-trnS,MG818251,526,Amauropelta firma (Baker ex Jenman) Salino & T. E. Almeida,Amauropelta firma (Baker ex Jenman) Salino & T.E.Almeida,2516308,in
Amauropelta_germaniana,rps4,MG818261,556,Amauropelta germaniana (Fée) Salino & T. E. Almeida,Amauropelta germaniana (Fee) Salino & T.E.Almeida,2516309,in
Amauropelta_germaniana,rps4-trnS,MG818262,503,Amauropelta germaniana (Fée) Salino & T. E. Almeida,Amauropelta germaniana (Fee) Salino & T.E.Almeida,2516309,in
